q1,q14,q15,location,location_latitude,location_longitude,location_altitude,location_precision,final_age,age_category_child
2,1,1,-4.1875877512278095 39.57523230958863 78.0 15.0,-4.187587751,39.57523231,78,15,21,2
1,1,1,-4.1849816072314034 39.57258598272147 66.0 5.0,-4.184981607,39.57258598,66,5,21,2
2,0,0,-4.135557577775688 39.55534785579952 11.0 10.0,-4.135557578,39.55534786,11,10,21,2
1,1,1,-4.298188591804247 39.45016513716065 158.0 10.0,-4.298188592,39.45016514,158,10,21,2
1,0,1,-4.308066905057746 39.45244422360805 65.0 60.0,-4.308066905,39.45244422,65,60,21,2
2,1,1,-4.150252386432024 39.61957923529011 32.0 10.0,-4.150252386,39.61957924,32,10,21,2
2,1,0,-4.226338187369619 39.58376729127266 12.0 10.0,-4.226338187,39.58376729,12,10,21,2
1,0,0,-4.212393228350321 39.55753870307805 88.0 5.0,-4.212393228,39.5575387,88,5,21,2
1,1,1,-4.3170643401707105 39.24425268235308 138.0 70.0,-4.31706434,39.24425268,138,70,21,2
1,0,1,0.2893029480143429 34.55525254472063 1381.0 10.0,0.289302948,34.55525254,1381,10,21,2
1,0,0, , , , , ,21,2
1,0,0, , , , , ,21,2
1,0,1, , , , , ,21,2
2,1,1, , , , , ,22,2
2,0,0,0.2189789103240705 34.42316974238495 1288.0 10.0,0.21897891,34.42316974,1288,10,22,2
1,1,1,0.2123386 34.4305604 0.0 3840.0,0.2123386,34.4305604,0,3840,22,2
1,1,1, , , , , ,22,2
1,1,1,-4.1950698428103435 39.478400287478124 233.0 5.0,-4.195069843,39.47840029,233,5,22,2
2,1,0,-4.3900861595747385 39.29492831058253 79.0 15.0,-4.39008616,39.29492831,79,15,22,2
1,1,1,-4.392862761115999 39.299195741975126 59.0 15.0,-4.392862761,39.29919574,59,15,22,2
1,0,1,-4.394821103799517 39.300821599468264 34.0 5.0,-4.394821104,39.3008216,34,5,22,2
2,1,1,-4.1873609617002785 39.57528281496382 62.0 5.0,-4.187360962,39.57528281,62,5,22,2
1,1,1,-4.137383308905621 39.558436078094935 20.0 10.0,-4.137383309,39.55843608,20,10,22,2
1,1,1,-4.251018962040371 39.575688077534764 5.0 35.0,-4.251018962,39.57568808,5,35,22,2
2,1,1,-4.149719106346643 39.61811275025575 4.0 10.0,-4.149719106,39.61811275,4,10,22,2
1,0,1,-4.133205805386963 39.62712124337741 11.0 5.0,-4.133205805,39.62712124,11,5,22,2
2,1,1,-4.2726777 39.5699055 0.0 3906.0,-4.2726777,39.5699055,0,3906,22,2
2,0,1,-4.329602344386496 39.25169317137313 179.0 5.0,-4.329602344,39.25169317,179,5,22,2
1,0,0, , , , , ,22,2
1,1,1,0.3229794 34.5676914 0.0 4044.0,0.3229794,34.5676914,0,4044,22,2
2,1,1,0.33250909360226694 34.490570572097745 1315.0 25.0,0.332509094,34.49057057,1315,25,23,2
1,0,1,0.3389719 34.5240968 0.0 4033.0,0.3389719,34.5240968,0,4033,23,2
2,0,0, , , , , ,23,2
2,0,1, , , , , ,23,2
2,0,0, , , , , ,23,2
2,0,1,0.2862557 34.4473007 0.0 5000.0,0.2862557,34.4473007,0,5000,23,2
1,1,1,-4.1839609 39.4695193 0.0 3397.0,-4.1839609,39.4695193,0,3397,23,2
2,0,0,-4.0115127 39.5868112 0.0 3008.0,-4.0115127,39.5868112,0,3008,23,2
2,1,1, , , , , ,23,2
1,0,0,-4.1632222214319725 39.57987336811369 81.0 5.0,-4.163222221,39.57987337,81,5,23,2
2,0,0,-4.244561375814974 39.591137745482364 -23.0 5.0,-4.244561376,39.59113775,-23,5,23,2
1,1,1,-4.145597005317355 39.608042879372555 5.0 5.0,-4.145597005,39.60804288,5,5,23,2
1,88,88,-4.221722389517171 39.563836635356964 32.0 10.0,-4.22172239,39.56383664,32,10,23,2
2,0,0,-4.219268758728406 39.56513033058307 45.0 10.0,-4.219268759,39.56513033,45,10,23,2
1,0,1,-4.211489776169569 39.55670575186599 108.0 10.0,-4.211489776,39.55670575,108,10,23,2
2,1,1,-4.331927745929816 39.25219306266079 222.0 50.0,-4.331927746,39.25219306,222,50,23,2
1,0,0,-4.367478535595069 39.193856817423274 109.0 25.0,-4.367478536,39.19385682,109,25,23,2
1,1,1,0.29115020087687904 34.58206262396493 1306.0 15.0,0.291150201,34.58206262,1306,15,23,2
2,0,1, , , , , ,23,2
2,0,0, , , , , ,23,2
1,0,1, , , , , ,23,2
2,0,1, , , , , ,23,2
2,0,1,0.39268183676153906 34.574564529639126 1284.0 30.0,0.392681837,34.57456453,1284,30,23,2
2,1,1,0.3309166119410933 34.5437511932263 1359.0 10.0,0.330916612,34.54375119,1359,10,24,2
2,0,0,0.3146296 34.5061397 0.0 3803.0,0.3146296,34.5061397,0,3803,24,2
1,0,0, , , , , ,24,2
